Code,Class,Description
RW,Condominiums,Warehouse/Factory/Industrial
RX,Condominiums,"Mixed Residential, Commercial and Industrial"
RZ,Condominiums,Mixed Residential and Warehouse
S0,Residence - Multiple Use,Primarily 1 Family With 2 Stores Or Offices
S1,Residence - Multiple Use,Primarily 1 Family With 1 Store Or Office
S2,Residence - Multiple Use,Primarily 2 Family With 1 Store Or Office
S3,Residence - Multiple Use,Primarily 3 Family With 1 Store Or Office
S4,Residence - Multiple Use,Primarily 4 Family With 1 Store Or Office
S5,Residence - Multiple Use,Primarily 5-6 Family With 1 Store Or Office
S9,Residence - Multiple Use,Single Or Multiple Dwelling With Stores Or Offices
T1,Transportation Facilities,"Airport, Airfield, Terminal"
T2,Transportation Facilities,"Pier, Dock, Bulkhead"
T9,Transportation Facilities,Miscellaneous Transportation Facility
U0,Utility Bureau Properties,Utility Company Land And Building
U1,Utility Bureau Properties,"Bridge, Tunnel, Highway"
U2,Utility Bureau Properties,Gas Or Electric Utility
U3,Utility Bureau Properties,Ceiling Railroad
U4,Utility Bureau Properties,Telephone Utility
U5,Utility Bureau Properties,Communication Facility Other Than Telephone
U6,Utility Bureau Properties,Railroad - Private Ownership
U7,Utility Bureau Properties,Transportation - Public Ownership
U8,Utility Bureau Properties,Revocable Consent
U9,Utility Bureau Properties,Miscellaneous Utility Property
V0,Vacant Land,Zoned Residential; Not Manhattan
V1,Vacant Land,Zoned Commercial Or Manhattan Residential
V2,Vacant Land,Zoned Commercial Adjacent To Class 1 Dwelling: Not Manhattan
V3,Vacant Land,Zoned Primarily Residential; Not Manhattan
V4,Vacant Land,Police Or Fire Department
V5,Vacant Land,School Site Or Yard
V6,Vacant Land,"Library, Hospital Or Museum"
V7,Vacant Land,Port Authority Of New York And New Jersey
V8,Vacant Land,New York State Or Us Government
V9,Vacant Land,Miscellaneous Vacant Land
W1,Educational Structures,"Public Elementary, Junior Or Senior High"
W2,Educational Structures,"Parochial School, Yeshiva"
W3,Educational Structures,School Or Academy
W4,Educational Structures,Training School
W5,Educational Structures,City University
W6,Educational Structures,Other College And University
W7,Educational Structures,Theological Seminary
W8,Educational Structures,Other Private School
W9,Educational Structures,Miscellaneous Educational Facility
Y1,Selected Government Installations,Fire Department
Y2,Selected Government Installations,Police Department
Y3,Selected Government Installations,"Prison, Jail, House Of Detention"
Y4,Selected Government Installations,Military And Naval Installation
Y5,Selected Government Installations,Department Of Real Estate
Y6,Selected Government Installations,Department Of Sanitation
Y7,Selected Government Installations,Department Of Ports And Terminals
Y8,Selected Government Installations,Department Of Public Works
Y9,Selected Government Installations,Department Of Environmental Protection
Z0,Miscellaneous,"Tennis Court, Pool, Shed, Etc."
Z1,Miscellaneous,Court House
Z2,Miscellaneous,Parking Public Parking Area
Z3,Miscellaneous,Post Office
Z4,Miscellaneous,Foreign Government
Z5,Miscellaneous,United Nations
Z6,Miscellaneous,Land Under Water
Z7,Miscellaneous,Easement
Z8,Miscellaneous,Cemetery
Z9,Miscellaneous,Other Miscellaneous
